the towel	la toalla
the water	el agua
the bread	el pan
can i use the phone?	¿Puedo usar el teléfono?
the noise	el ruido
what time is it?	¿Qué hora es?
the sky	el cielo
the cold	el frío
the beach	la playa
the bus	el autobús
the fork	el tenedor
the spoon	la cuchara
the knife	el cuchillo
my name is	mi nombre es
One	Uno
Two	Dos
Three	Tres
Four	Cuatro
Five	Cinco
Six	Seis
Seven	Siete
Eight	Ocho
Nine	Nueve
Ten	Diez
street	calle
how much?	¿cuánto
white	blanco
green	verde
blue	azul
red	rojo
black	negro
i want to sleep	Quiero dormir
i need to sleep	Necesito dormir
eleven	once
twelve	doce
thirteen	trece
fourteen	catorce
fifteen	quince
sixteen	dieciséis
seventeen	diecisiete
eighteen	dieciocho
nineteen	diecinueve
twenty	veinte
zero	cero
minus one	menos uno
I'm thirsty	Tengo sed
I'm hungry	Tengo hambre
the sea	el mar
I'm sorry	Lo siento
I like running	Me gusta correr
The dog	El perro
The cat	El gato
Nice cat	Gato Niza
the father	el padre
the mother	la madre
the son	el hijo
the daughter	la hija
the brother	el hermano
the sister	la hermana
the husband	el marido
the wife	la esposa
the cousin	el primo
the uncle	el tío
the aunt	la tía
my uncle	mi tío
my aunt	mi tía
your uncle	su tío
your aunt	su tía
our uncle	nuestro tío
our aunt	nuestro tía
their uncle	su tío
their aunt	su tía
my uncles	mis tíos
your uncles	sus tíos
our uncles	nuestro tíos
their uncles	sus tíos
the building	el edificio
the building is tall	el edificio es alto
the boy	el niño
the boy is tall	el muchacho es alto
the girl	la niña
the girl is short	la chica es corta
wait for me	espérame
hurry	prisa
go away	desaparece
thank you	gracias
I want to buy sunglasses	Quiero comprar gafas de sol
I feel cold	Me siento frío
cough	tos
Monday	Lunes
Tuesday	Martes
Wednesday	Miércoles
Thursday	Jueves
Friday	Viernes
Saturday	Sábado
Sunday	Domingo
Good morning	Buenos días
Good night	Buenas noches
eyes	ojos
can you speak louder	puede hablar más alto
He has a big heart	Él tiene un gran corazón
I have it in my hand	Lo tengo en mi mano
the bird is on the tree	el pájaro está en el árbol
the plane is flying	el avión está volando
the plane flew	el avión voló
What's your name?	¿Cuál es tu nombre?
Close your eyes	Cierra los ojos
open the door	abrir la puerta
Where are you going?	¿A dónde vas?
are you going up or down?	vas hacia arriba o hacia abajo?
